,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,2nd Flr SF,Low Qual Fin SF,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Kitchen AbvGr,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Garage Cars Garage Area,Garage Cars Gr Liv Area,Garage Cars TotRms AbvGrd,Garage Cars Total Bsmt SF,Garage Cars 1st Flr SF,Garage Cars Bedroom AbvGr,Garage Cars TotRms AbvGrd,Garage Area Gr Liv Area,Garage Area TotRms AbvGrd,Garage Area Total Bsmt SF,Garage Area 1st Flr SF,Garage Area Bedroom AbvGr,Garage Area TotRms AbvGrd,Gr Liv Area TotRms AbvGrd,Gr Liv Area Total Bsmt SF,Gr Liv Area 1st Flr SF,Gr Liv Area Bedroom AbvGr,Gr Liv Area TotRms AbvGrd,TotRms AbvGrd Total Bsmt SF,TotRms AbvGrd 1st Flr SF,TotRms AbvGrd Bedroom AbvGr,TotRms AbvGrd TotRms AbvGrd,Total Bsmt SF 1st Flr SF,Total Bsmt SF Bedroom AbvGr,Total Bsmt SF TotRms AbvGrd,1st Flr SF Bedroom AbvGr,1st Flr SF TotRms AbvGrd,Bedroom AbvGr TotRms AbvGrd
10,1044,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,GasA,TA,Y,SBrkr,504,0,0.0,0.0,1,1,1,TA,Typ,0,,Detchd,Unf,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2008,COD,85400.0,264.0,987.0,4.0,483.0,483.0,2.0,4.0,260568.0,1056.0,127512.0,127512.0,528.0,1056.0,3948.0,476721.0,476721.0,1974.0,3948.0,1932.0,1932.0,8.0,16.0,233289.0,966.0,1932.0,966.0,1932.0,8.0
11,2752,20,RL,64.0,7488,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,GasA,Ex,Y,SBrkr,0,0,0.0,0.0,2,0,1,Gd,Typ,0,,Attchd,RFn,TA,TA,Y,105,58,0,0,0,0,,,,0,2,2006,WD ,183600.0,1264.0,2416.0,12.0,2416.0,2416.0,4.0,12.0,763456.0,3792.0,763456.0,763456.0,1264.0,3792.0,7248.0,1459264.0,1459264.0,2416.0,7248.0,7248.0,7248.0,12.0,36.0,1459264.0,2416.0,7248.0,2416.0,7248.0,12.0
12,807,70,RL,120.0,26400,Pave,,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,NA,NA,NA,NA,0.0,NA,0.0,0.0,GasA,Ex,Y,SBrkr,728,0,0.0,0.0,1,0,1,TA,Mod,1,TA,Attchd,Unf,TA,TA,P,0,0,0,0,0,0,,,,0,6,2009,WD ,131000.0,1152.0,4032.0,14.0,0.0,2576.0,8.0,14.0,1161216.0,4032.0,0.0,741888.0,2304.0,4032.0,14112.0,0.0,2596608.0,8064.0,14112.0,0.0,9016.0,28.0,49.0,0.0,0.0,0.0,5152.0,9016.0,28.0
13,1177,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,GasA,Ex,Y,SBrkr,645,0,1.0,0.0,2,1,1,Gd,Typ,0,,Detchd,Unf,TA,TA,Y,169,0,0,0,0,0,,,,0,12,2008,ConLD,200000.0,960.0,3214.0,14.0,1920.0,1924.0,6.0,14.0,771360.0,3360.0,460800.0,461760.0,1440.0,3360.0,11249.0,1542720.0,1545934.0,4821.0,11249.0,6720.0,6734.0,21.0,49.0,923520.0,2880.0,6720.0,2886.0,6734.0,21.0
14,1480,20,RL,74.0,9627,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,GasA,Ex,Y,SBrkr,0,0,0.0,0.0,2,0,1,Gd,Typ,0,,Attchd,RFn,TA,TA,Y,0,50,0,0,0,0,,,,0,6,2008,WD ,193000.0,1220.0,2722.0,12.0,2702.0,2722.0,6.0,12.0,830210.0,3660.0,824110.0,830210.0,1830.0,3660.0,8166.0,1838711.0,1852321.0,4083.0,8166.0,8106.0,8166.0,18.0,36.0,1838711.0,4053.0,8106.0,4083.0,8166.0,18.0
15,324,20,RL,93.0,10114,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,GasA,Ex,Y,SBrkr,0,0,0.0,0.0,2,0,1,Gd,Typ,0,,Attchd,RFn,TA,TA,Y,0,0,0,0,0,0,,,,0,3,2010,WD ,173500.0,1248.0,2860.0,14.0,2860.0,2860.0,6.0,14.0,892320.0,4368.0,892320.0,892320.0,1872.0,4368.0,10010.0,2044900.0,2044900.0,4290.0,10010.0,10010.0,10010.0,21.0,49.0,2044900.0,4290.0,10010.0,4290.0,10010.0,21.0
16,1311,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,GasA,Fa,N,SBrkr,720,0,0.0,0.0,1,0,1,TA,Typ,0,,Detchd,Unf,Fa,Fa,Y,0,0,96,0,0,0,,,,0,5,2008,COD,98000.0,1539.0,4032.0,21.0,1872.0,1872.0,12.0,21.0,689472.0,3591.0,320112.0,320112.0,2052.0,3591.0,9408.0,838656.0,838656.0,5376.0,9408.0,4368.0,4368.0,28.0,49.0,389376.0,2496.0,4368.0,2496.0,4368.0,28.0
17,770,20,RL,80.0,8816,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,GasA,TA,Y,SBrkr,0,0,1.0,0.0,1,0,1,TA,Typ,0,,Detchd,Unf,TA,TA,Y,0,80,0,0,0,0,,MnPrv,,0,6,2009,WD ,139000.0,960.0,2242.0,10.0,2242.0,2242.0,6.0,10.0,538080.0,2400.0,538080.0,538080.0,1440.0,2400.0,5605.0,1256641.0,1256641.0,3363.0,5605.0,5605.0,5605.0,15.0,25.0,1256641.0,3363.0,5605.0,3363.0,5605.0,15.0
18,2063,20,RL,71.0,8197,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,GasA,Ex,Y,SBrkr,0,0,0.0,0.0,1,1,1,TA,Typ,1,TA,Attchd,RFn,TA,TA,Y,138,0,0,0,0,0,,MnPrv,,0,4,2007,WD ,143500.0,1056.0,2570.0,14.0,1320.0,2570.0,6.0,14.0,678480.0,3696.0,348480.0,678480.0,1584.0,3696.0,8995.0,848100.0,1651225.0,3855.0,8995.0,4620.0,8995.0,21.0,49.0,848100.0,1980.0,4620.0,3855.0,8995.0,21.0
19,69,60,FV,72.0,8640,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,GasA,Ex,Y,SBrkr,783,0,0.0,0.0,2,1,1,Gd,Typ,0,,Attchd,Unf,TA,TA,Y,169,45,0,0,0,0,,,,0,6,2010,Con,215200.0,1228.0,3094.0,14.0,1512.0,1528.0,6.0,14.0,949858.0,4298.0,464184.0,469096.0,1842.0,4298.0,10829.0,1169532.0,1181908.0,4641.0,10829.0,5292.0,5348.0,21.0,49.0,577584.0,2268.0,5292.0,2292.0,5348.0,21.0
20,2062,20,RL,109.0,8724,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,GasA,Gd,Y,SBrkr,0,0,0.0,0.0,1,0,1,TA,Typ,1,Po,Attchd,Fin,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2007,WD ,129000.0,900.0,1788.0,10.0,1788.0,1788.0,6.0,10.0,402300.0,2250.0,402300.0,402300.0,1350.0,2250.0,4470.0,799236.0,799236.0,2682.0,4470.0,4470.0,4470.0,15.0,25.0,799236.0,2682.0,4470.0,2682.0,4470.0,15.0
21,351,120,RL,40.0,5664,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,GasA,Ex,Y,SBrkr,0,0,1.0,0.0,2,0,1,Ex,Typ,1,Ex,Attchd,Fin,TA,TA,Y,212,59,0,0,0,0,,,,0,10,2009,WD ,278000.0,998.0,3318.0,10.0,3002.0,3318.0,4.0,10.0,827841.0,2495.0,748999.0,827841.0,998.0,2495.0,8295.0,2490159.0,2752281.0,3318.0,8295.0,7505.0,8295.0,10.0,25.0,2490159.0,3002.0,7505.0,3318.0,8295.0,10.0
22,2393,60,RL,103.0,12867,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,GasA,Ex,Y,SBrkr,1044,0,0.0,0.0,2,1,1,Ex,Typ,1,Gd,Attchd,Fin,TA,TA,Y,243,142,0,0,0,0,,,,0,7,2006,New,344133.0,1150.0,4506.0,16.0,2418.0,2418.0,6.0,16.0,1295475.0,4600.0,695175.0,695175.0,1725.0,4600.0,18024.0,2723877.0,2723877.0,6759.0,18024.0,9672.0,9672.0,24.0,64.0,1461681.0,3627.0,9672.0,3627.0,9672.0,24.0
23,12,20,RL,0.0,7980,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,GasA,Ex,Y,SBrkr,0,0,1.0,0.0,2,0,1,TA,Typ,0,,Attchd,Fin,TA,TA,Y,483,21,0,0,0,0,,GdPrv,Shed,500,3,2010,WD ,185000.0,840.0,2374.0,12.0,2336.0,2374.0,6.0,12.0,498540.0,2520.0,490560.0,498540.0,1260.0,2520.0,7122.0,1386416.0,1408969.0,3561.0,7122.0,7008.0,7122.0,18.0,36.0,1386416.0,3504.0,7008.0,3561.0,7122.0,18.0
24,2339,190,RL,100.0,34650,Pave,,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,GasA,TA,N,SBrkr,0,0,1.0,0.0,1,0,1,TA,Typ,0,,Attchd,Fin,TA,TA,Y,264,0,0,0,0,0,,,,0,1,2006,WD ,145000.0,1144.0,2112.0,10.0,2112.0,2112.0,6.0,10.0,604032.0,2860.0,604032.0,604032.0,1716.0,2860.0,5280.0,1115136.0,1115136.0,3168.0,5280.0,5280.0,5280.0,15.0,25.0,1115136.0,3168.0,5280.0,3168.0,5280.0,15.0
25,624,20,RL,92.0,10573,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,GasA,Ex,Y,SBrkr,0,0,1.0,0.0,2,0,1,TA,Typ,1,TA,Attchd,RFn,TA,TA,Y,0,49,0,0,288,0,,GdPrv,,0,4,2009,WD ,187500.0,1060.0,2906.0,12.0,2906.0,2906.0,6.0,12.0,770090.0,3180.0,770090.0,770090.0,1590.0,3180.0,8718.0,2111209.0,2111209.0,4359.0,8718.0,8718.0,8718.0,18.0,36.0,2111209.0,4359.0,8718.0,4359.0,8718.0,18.0
26,86,20,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,GasA,Ex,Y,SBrkr,0,0,1.0,0.0,1,0,1,TA,Typ,1,Gd,Detchd,Unf,TA,TA,Y,416,144,0,0,0,0,,MnPrv,,0,4,2010,WD ,138500.0,336.0,894.0,5.0,894.0,894.0,3.0,5.0,300384.0,1680.0,300384.0,300384.0,1008.0,1680.0,4470.0,799236.0,799236.0,2682.0,4470.0,4470.0,4470.0,15.0,25.0,799236.0,2682.0,4470.0,2682.0,4470.0,15.0
27,1534,50,RL,0.0,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,GasA,Ex,Y,SBrkr,673,0,0.0,0.0,2,0,1,Gd,Min2,1,Gd,Detchd,Unf,TA,TA,Y,0,40,0,0,0,0,,,,0,7,2008,WD ,198000.0,240.0,1938.0,7.0,942.0,1265.0,4.0,7.0,465120.0,1680.0,226080.0,303600.0,960.0,1680.0,13566.0,1825596.0,2451570.0,7752.0,13566.0,6594.0,8855.0,28.0,49.0,1191630.0,3768.0,6594.0,5060.0,8855.0,28.0
28,2243,190,C (all),75.0,8250,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,GasA,Fa,N,SBrkr,957,0,0.0,0.0,2,0,2,TA,Typ,0,,,NA,NA,NA,N,0,0,133,0,0,0,,,,0,6,2007,WD ,119600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17919.0,1905387.0,2058694.0,7964.0,17919.0,8613.0,9306.0,36.0,81.0,989538.0,3828.0,8613.0,4136.0,9306.0,36.0
29,1957,50,RL,60.0,8064,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,GasA,Ex,Y,SBrkr,252,0,0.0,0.0,1,0,1,TA,Typ,1,Po,Detchd,Unf,TA,TA,Y,0,0,0,0,0,0,,MnPrv,Shed,2000,7,2007,WD ,122900.0,1152.0,1848.0,12.0,1344.0,1344.0,6.0,12.0,532224.0,3456.0,387072.0,387072.0,1728.0,3456.0,5544.0,620928.0,620928.0,2772.0,5544.0,4032.0,4032.0,18.0,36.0,451584.0,2016.0,4032.0,2016.0,4032.0,18.0
30,380,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,GasA,TA,Y,SBrkr,0,0,1.0,0.0,2,1,1,Gd,Typ,1,Gd,Attchd,Fin,TA,TA,Y,474,120,0,0,0,0,,MnPrv,,0,7,2009,WD ,278000.0,1084.0,5048.0,18.0,5048.0,5048.0,8.0,18.0,1368008.0,4878.0,1368008.0,1368008.0,2168.0,4878.0,22716.0,6370576.0,6370576.0,10096.0,22716.0,22716.0,22716.0,36.0,81.0,6370576.0,10096.0,22716.0,10096.0,22716.0,36.0
